Question,Ground_Truth
Đâu là tên của người nghiên cứu khoa học đồng nghiệp của Dudley R. Herschbach?,/Richard N. Zare
Ai là những người đã đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai đã được trao Giải Rosenstiel trong lĩnh vực hóa học?,Giải Rosenstiel
Năm nào Elias James Corey đã giành giải thưởng?,1986
Ai là người có liên quan đến Triple Dudley R. Herschbach trong lĩnh vực nghiên cứu?,/Anita Goel
Ai là người hướng dẫn luận án tiến sĩ của David J. Wineland?,Không có người hướng dẫn tiến sĩ
Ai là người hướng dẫn luận án tiến sĩ của Ei-Ichi Negishi?,Không có người hướng dẫn tiến sĩ
Ernest Rutherford làm việc tại đâu?,/Victoria University Of Manchester
Năm nào Dorothy Hodgkin được trao giải thưởng?,1986
Ai là những người đã đoạt giải Nobel trong lĩnh vực Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Danh sách các người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người đã mất và có liên quan đến New York (Tiểu Bang)?,New York (Tiểu Bang
Ai là những người đã đoạt Giải Nobel Kinh Tế?,Danh Sách Người Đoạt Giải Nobel Kinh Tế
Năm nào Donald A. Glaser giành Giải thưởng?,1961
Dorothy Hodgkin là người nước nào?,Anh
Nơi Duncan Haldane công tác là đâu?,Đại Học Princeton
Nơi Donald A. Glaser mất là ở đâu?,"Berkeley, California"
Ai là vị vua đã mời Copernicus đến Hoàng Gia Phổ?,Hoàng Gia Phổ
Drew Weissman đã nhận giải thưởng nào trong lĩnh vực nghiên cứu y tế?,Giải Rosenstiel
Craig Mello đã được trao giải thưởng nào?,/Giải Massry
Ai là người sinh ra tại Chester?,Chester
Nơi sinh của Edmund Phelps là ở đâu?,"Evanston, Illinois"
Quốc tịch của David J. Wineland là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Eduard Buchner?,Không có người hướng dẫn tiến sĩ
Ai là người đã sinh ra Edward Adelbert Doisy?,David Hume
Edwin McMillan sinh ở tiểu bang nào?,California
Ai là người đã mất?,Anh
Emil Fischer sinh ra ở quốc gia nào?,Đức
Craig Mello đã giành được giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Quốc tịch của Duncan Haldane là gì?,Vương Quốc Anh
Ai là người cộng tác với Edmund Phelps trong các nghiên cứu nổi tiếng?,/Roman Frydman
Ai là người đã nhận Huy Chương Benjamin Franklin Về Vật Lý Học?,/Huy Chương Benjamin Franklin Về Vật Lý Học
Emil Fischer làm việc tại nơi nào vào năm nào?,1892
Derek Barton học tại trường đại học nào?,/Imperial College London
Nơi Dan Shechtman công tác là đâu?,/Technion
Daniel Nathans sinh ở đâu?,"Wilmington, Delaware"
Duncan Haldane làm việc ở đâu?,Phòng Thí Nghiệm Bell
Edward Lawrie Tatum làm việc ở đâu?,Đại Học Yale
Erik Axel Karlfeldt sinh ra ở đâu?,Thụy Điển
Bạn muốn biết David J. Thouless sinh ở đâu?,/Bearsden
Eisaku Satō là người nổi tiếng của quốc gia nào?,Đế Quốc Nhật Bản
Emil Fischer làm việc ở nơi nào vào năm nào?,1875
Ở bang nào Elias James Corey sinh ra?,Massachusetts
Ai là người hướng dẫn luận án tiến sĩ của David MacMillan?,/Larry E. Overman
Eric Allin Cornell học ở đâu?,Đại Học Stanford
Danh sách những người đã đoạt Giải Nobel Sinh Lý Học và Y Khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Edward Calvin Kendall làm việc ở đâu?,/Mayo Clinic
Ai là những người đoạt giải Nobel Sinh Lý Học và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Giải thưởng nào mà David J. Thouless từng đoạt được?,/Lars Onsager Prize
Dorothy Hodgkin đã nhận được giải thưởng nào từ Hội Hoàng gia London?,Huy Chương Copley
Edward Teller đã đạt được bằng cấp nào?,Doctor Of Philosophy
Emil Adolf Von Behring qua đời ở thành phố nào?,Marburg
"Quốc tịch của Earl Wilbur Sutherland, Jr là gì?",Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Edward Adelbert Doisy?,Không có người hướng dẫn tiến sĩ
Elie Wiesel đã nhận được giải thưởng nào từ Romania?,/Order Of The Star Of Romania
Dmitry Muratov làm công việc gì?,/Contributing Editor
Danh sách nào gồm tên của Edwin G. Krebs và các người đã đoạt giải Nobel Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Quốc tịch của Corneille Heymans là gì?,Bỉ
Dmitry Muratov là người nghề gì?,/Journalist
Daron Acemoglu làm việc tại trường đại học nào?,Trường Kinh Tế Và Khoa Học Chính Trị Luân Đôn
Ai là người hướng dẫn luận án tiến sĩ của Raymond Thayer Birge?,/Raymond Thayer Birge
Bạn đã học ở trường nào khi là sinh viên của Eric Betzig?,Đại Học Cornell
Nơi Edward Victor Appleton công tác là /Đại Học Bradford phải không?,/Đại Học Bradford
"Daniel Kahneman đã liên quan đến điều gì trong Triple mà câu trả lời là ""Lãnh Thổ Uỷ Trị Palestine""?",Lãnh Thổ Uỷ Trị Palestine
Nơi Edward Mills Purcell đã qua đời là ở đâu?,"Cambridge, Massachusetts"
Ai là người hướng dẫn luận án tiến sĩ của Edward Mills Purcell?,/Kenneth Bainbridge
Corneille Heymans sinh ở đâu?,Bỉ
Năm sinh của Eisaku Satō là năm nào?,1901
Edward Condon làm việc tại đâu?,/Công Ty Điện Lực Westinghouse
Ngày nào Ernest Rutherford sinh?,30 Tháng 8
David Hume sinh vào thời kỳ nào?,/New Style
Douglass North công tác ở đâu?,/Đại Học Washington Ở St. Louis
Daniel Kahneman đã nhận giải thưởng nào từ Cộng Đồng Tâm Lý Học Hoa Kỳ?,/Cộng Đồng Tâm Lý Học Hoa Kỳ
Nơi Donald J. Cram sinh là ở đâu?,Vermont
Nơi Edward Victor Appleton mất là ở đâu?,Edinburgh
Elie Wiesel đã được trao giải thưởng nào từ Anh Quốc?,Order Of The British Empire
Ernest Lawrence đã được tuyển dụng tại trường đại học nào?,Đại Học Yale
Quốc tịch của Dudley R. Herschbach là gì?,Hoa Kỳ
"Với Daniel Kahneman, giải thưởng nào ông đã nhận được?",Huân Chương Tự Do Tổng Thống
Ai là người đã nhận Giải John J. Carty Cho Thăng Tiến Khoa Học?,Giải John J. Carty Cho Thăng Tiến Khoa Học
Donald J. Cram qua đời ở đâu?,/Palm Desert
Daniel Kahneman có học vị gì?,Tiến Sĩ
Vị thế nào của Dag Hammarskjöld trong lịch sử đất nước nào?,Zambia
Ai là người hướng dẫn luận án tiến sĩ của Edwin McMillan?,Edward Condon
Ernest Rutherford đã đoạt giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Elizabeth Blackburn đã đoạt giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ai đã được trao Huy Chương John Bates Clark?,Huy Chương John Bates Clark
Elfriede Jelinek sinh ở đâu?,Steiermark
Ở đâu Edward Teller làm việc?,Đại Học California Tại Berkeley
David MacMillan đã đoạt giải thưởng nào?,/Huy Chương Corday-Morgan
Donna Strickland học tại trường đại học nào?,/University Of Rochester
Bạn có thể cung cấp link đến luận án về Ernest Lawrence ở đâu không?,Https://Www.Tandfonline.Com/Doi/Full/10.1080/14786442508634745
"Năm nào Earl Wilbur Sutherland, Jr mất?",1974
Dorothy Hodgkin đã đoạt giải thưởng nào?,/Huy Chương Vàng Lômnosov
Edward Teller làm việc ở đâu?,Đại Học Göttingen
Ai là người đồng nghiệp nổi tiếng của Edward Condon trong lĩnh vực nghiên cứu?,Edwin McMillan
Derek Walcott sinh ra ở đâu?,Saint Lucia
Cyril Norman Hinshelwood làm việc ở đâu?,Đại Học Oxford
Quốc tịch của Edwin G. Krebs là gì?,Hoa Kỳ
Dennis Gabor đã từng giảng dạy tại trường nào?,/Đại Học Kỹ Thuật Budapest
Trường đại học nào mà David J. Thouless từng làm việc tại?,Đại Học Cornell
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Elias James Corey đã nhận được giải thưởng nào?,/Giải Thưởng Nhật Bản
Quốc gia nào là nơi Derek Walcott sinh ra?,Saint Lucia
Edward Victor Appleton đã nhận được giải thưởng nào?,/Huy Chương Danh Dự IEEE
Drew Weissman đã đạt được giải thưởng nào trong lĩnh vực nghiên cứu y học lâm sàng?,/Diải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey
Ai đã được trao Huy Chương Frisch?,Huy Chương Frisch
Ai là người tiếp theo trong chuỗi Triple: Edward Teller - Các sinh viên nổi tiếng - ...?,Jack Steinberger
Ngày nào Eisaku Satō mất?,3 Tháng 6
Ai là người đoạt giải Văn Học Quốc Tế Neustadt?,Giải Văn Học Quốc Tế Neustadt
Bạn có thể cho biết ai là người cộng tác với Daniel Kahneman trong các nghiên cứu nổi tiếng?,/Baruch Fischhoff
Năm nào Elias James Corey đã giành giải thưởng?,1990
Elie Wiesel đã được trao giải thưởng nổi bật nào từ tổng thống?,Huân Chương Tự Do Tổng Thống
Dorothy Hodgkin mất ở đâu?,Warwickshire
David Card đã được trao tặng giải thưởng nào?,Giải Nobel Kinh Tế
Người nào sinh ra ở nơi có tên là Wilkes-Barr?,/Wilkes-Barr
David Hume học tại trường lớp nào trước khi vào Đại Học Edinburgh?,Đại Học Edinburgh
Dag Hammarskjöld đã đóng vai trò quan trọng trong việc thành lập tổ chức nào?,Liên Minh Giữa Thụy Điển Và Na Uy
Ai là người đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Quốc tịch của Emil Adolf Von Behring là gì?,Đức
Nơi nào Edward Teller đã qua đời?,"Stanford, California"
Ai là người hướng dẫn luận án tiến sĩ của Edward Teller?,Không có người hướng dẫn tiến sĩ
Ernest Rutherford mất ở đâu?,Anh
Trường đại học nào mà Corneille Heymans đã tốt nghiệp?,/Đại Học Ghent
Ai là người hướng dẫn luận án tiến sĩ của Elizabeth Blackburn?,Frederick Sanger
"Ai là nhà văn đã đoạt giải thưởng nổi bật và cũng là tác giả của tác phẩm ""Bắc Đẩu Bội Tinh""?",Bắc Đẩu Bội Tinh
Đâu là tên của nhà toán học nổi tiếng mà Enrico Fermi đã nghiên cứu?,Lý Chính Đạo
Ở đâu Daniel Kahneman đã nhận học vị của mình?,"Đại Học California, Berkeley"
Ai là người hướng dẫn tiến sĩ của Dorothy Hodgkin?,Không có người hướng dẫn tiến sĩ
Ai đã được trao Huy Chương Lorentz?,Huy Chương Lorentz
Danh sách những người đã đoạt giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai là người hướng dẫn tiến sĩ cho David J. Thouless?,Không có người hướng dẫn tiến sĩ
Edward Calvin Kendall sinh ở tiểu bang nào?,Connecticut
Đất nước nào Dmitry Muratov sinh ra?,Liên Xô
Nơi David J. Wineland công tác là đâu?,/Viện Quốc Gia Tiêu Chuẩn Và Công Nghệ
Ai đã được trao Huy Chương IET Faraday?,/Huy Chương IET Faraday
Daniel Kahneman có học vị gì?,/Thạc Sĩ Nghệ Thuật
Czesław Miłosz sinh ở đâu?,/Kedainiai
Elie Wiesel sinh ở tỉnh nào?,/Maramureș County
Nơi David Julius sinh là ở đâu?,"Brooklyn, New York"
Quốc tịch của Edmund Phelps là gì?,Người Mỹ
Nơi nào Dudley R. Herschbach công tác?,Đại Học California Tại Berkeley
Trường đại học nào mà David J. Thouless mất tại đó?,Cambridge
Nơi sinh của Elizabeth Blackburn là ở đâu?,Tasmania
Nơi sinh của Edward Victor Appleton là ở đâu?,Bradford
David J. Wineland từng làm việc tại trường học nào?,Đại Học Harvard
Quốc tịch của Edward Lawrie Tatum là gì?,Hoa Kỳ
Edward Teller đã nhận được giải thưởng nào?,/Enrico Fermi Award
Ai là người được đề cử trong Triple này?,/Mordecai Kurz
Quốc tịch của Edwin McMillan là gì?,Hoa Kỳ
Edwin G. Krebs đã đạt được danh hiệu gì tại trường lớp?,Cử Nhân Khoa Học
Ngày nào Eisaku Satō sinh?,27 Tháng 3
Ai là người hướng dẫn luận án tiến sĩ của Donald A. Glaser?,Không có người hướng dẫn tiến sĩ
Daniel Kahneman đạt được học vị gì?,Cử Nhân Nghệ Thuật
Thành phố nào là quê hương của nhà thiên văn học nổi tiếng Copernicus?,Toruń
Daniel Kahneman đã nhận giải thưởng nào và từ đâu?,/Đại Học Tufts
Dennis Gabor đã được trao giải thưởng nào vào lĩnh vực nào?,Giải Nobel Vật Lý
Ai là người hướng dẫn luận án tiến sĩ của Edward Mills Purcell?,Không có người hướng dẫn tiến sĩ
Ở thành phố nào Doris Lessing đã qua đời?,Luân Đôn
Drew Weissman đã được trao giải thưởng nào?,/Giải Harvey
Emilio G. Segrè làm việc tại đâu?,Phòng Thí Nghiệm Quốc Gia Los Alamos
Ở đâu David MacMillan đã nhận học vị của mình?,"Đại Học California, Irvine"
Quốc tịch của Derek Walcott là gì?,Saint Lucia
Derek Barton đã mất ở quốc gia nào?,Hoa Kỳ
Daniel Kahneman đã nhận giải thưởng nào trước Đại Học Louisville?,/Đại Học Louisville
Edward Mills Purcell làm việc tại đâu?,Viện Công Nghệ Massachusetts
Enrico Fermi làm việc tại đâu?,Đại Học Columbia
Ai là người được hướng dẫn luận án tiến sĩ bởi Edwin McMillan?,Ernest Lawrence
Năm nào Donald A. Glaser đã giành Giải thưởng?,1960
Ai là người hướng dẫn luận án tiến sĩ của Enrico Fermi?,Không có người hướng dẫn tiến sĩ
Dorothy Hodgkin làm việc tại đâu?,Đại Học Oxford
Nơi sinh của Elizabeth Blackburn là ở đâu?,Hobart
Quốc tịch của Eric Allin Cornell là gì?,Hoa Kỳ
Donna Strickland đã nhận được giải thưởng nào?,/Alfred P. Sloan Research Fellowship
"Ai được kết nối với Donald A. Glaser thông qua khái niệm ""Phối ngẫu""?",/Ruth Bonnie Thompson
Năm nào Edward Mills Purcell đã được trao Giải thưởng?,1952
Quốc tịch của Dag Hammarskjöld là gì?,Thụy Điển
Ai đã được trao Giải thưởng Nobel Hóa học năm 1990?,/Huy Chương Franklin
Eric Betzig làm việc tại tổ chức nào?,/Howard Hughes Medical Institute
Bạn có thể cung cấp liên kết đến luận án của Drew Weissman không?,Https://Www.Proquest.Com/Docview/303477470
Ai là những người đã đoạt Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi David MacMillan công tác là trường đại học nào?,/Trường Đại Học Princeton
Ai là người được đề cử cùng với Duncan Haldane trong danh sách các sinh viên nổi tiếng?,/Ashvin Vishwanath
Bạn biết Didier Queloz học ở trường nào không?,Đại Học Geneva
Dudley R. Herschbach làm việc tại đâu?,/Texas A&M University
Ai là người được đề cử Nobel với Edward Teller trong lĩnh vực nghiên cứu vật lý?,/Lincoln Wolfenstein
Ai là người được đề cập trong Triple với Emil Fischer và được biết đến với các nghiên cứu sinh nổi tiếng?,/Walter A. Jacobs
Danh sách những người đoạt giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Năm sinh của Edward Mills Purcell là năm nào?,1912
Ai là nghiên cứu sinh nổi tiếng cùng với Edward Mills Purcell?,Nicolaas Bloembergen
