Question,Ground_Truth
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer trong lĩnh vực nghiên cứu?,/Carl Theodore Liebermann
Năm nào Ahmed Zewail đã nhận Giải thưởng?,2006
Albert Einstein từng công tác tại đâu?,Viện Công Nghệ California
Abdus Salam làm việc tại đâu?,/Học Viện Khoa Học Thế Giới
Albert Einstein đã nhận được giải thưởng nào từ Huy Chương Max Planck?,Huy Chương Max Planck
Con cái nào của Albert Einstein là con trai thứ hai của ông?,"Gia Đình Einstein#Eduard ""Tete"" Einstein (Con Trai Thứ Hai Của Einstein"
Ai là người đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Akira Yoshino học vị cao hơn từ trường đại học nào?,Đại Học Osaka
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Năm nào Abdus Salam nhận Giải thưởng?,1964
Ai là người được biết đến trong lĩnh vực nghiên cứu với Abram Ioffe và được trao giải Nobel Vật lý?,Nikolay Semyonov
Quốc tịch của nhà hóa học nổi tiếng Adolf Von Baeyer là gì?,Đức
Ai là người đã sinh ra vào thời điểm /Beshasha?,/Beshasha
Quốc gia nào Adolf Butenandt sinh ra?,Đức
Ai là người đã mất trong Triple: Abdus Salam - Mất - Anh?,Anh
Quốc gia nào Adolf Von Baeyer mất?,Đức
Trường đại học nào mà Abhijit Banerjee đã nhận học vị của mình?,Đại Học Calcutta
Ai đã nhận giải thưởng Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Albert Schweitzer học chuyên ngành gì tại trường lớp?,Thần Học
Al Gore sinh ở đâu?,Hoa Kỳ
Abdus Salam đã nhận được giải thưởng nào mà có tên là gì?,Huy Chương Matteucci
Albert Einstein đã làm việc tại nơi nào?,Đại Học Princeton
Quốc gia nào Akira Yoshino sinh ra?,Nhật Bản
Albert Einstein làm việc ở đâu?,Đại Học Karl Ở Praha
Ai là người bạn thân nhất của Alan Turing?,/Robin Gandy
Danh sách những người đoạt Giải Nobel Hóa Học bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Albert Einstein đã từng liên quan đến viện nào?,Đại Học Brandeis
Aaron Klug đã mất tại đâu?,Cambridge
Ai là quê hương của Albert Camus?,Dréan
Albert Schweitzer sinh ở đâu?,Kaysersberg
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,Không có người hướng dẫn tiến sĩ
Ai là người đã có các nghiên cứu nổi tiếng trong lĩnh vực của Abdus Salam?,/Yuval Ne'Eman
Albert Fert là người nước nào?,Pháp
Ai là người hướng dẫn tiến sĩ của Albert Einstein?,Không có người hướng dẫn tiến sĩ
Ai là người đồng nghiệp nghiên cứu của Abdus Salam?,/Robert Delbourgo
Abhijit Banerjee làm việc ở đâu?,Viện Công Nghệ Massachusetts
Ai là đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Fayyazuddin
Albert Fert đã nhận được giải thưởng nào?,/Huy Chương Vàng Của CNRS
Ai đã từng được trao /Huân Chương Hughes?,/Huân Chương Hughes
Abdus Salam làm việc tại đâu?,Đại Học Cambridge
Alan MacDiarmid mất ở đâu?,/Drexel Hill
Ai là người đã ảnh hưởng đến Albert Einstein?,Hendrik Lorentz
Ai đã giành Giải Khoa Học Thế Giới Albert Einstein?,Giải Khoa Học Thế Giới Albert Einstein
Einstein làm việc ở thành phố nào?,Bern
Albert Einstein làm việc tại đâu?,ETH Zurich
Abdus Salam làm việc tại trường đại học nào?,/Đại Học Punjab
Aage Bohr làm việc ở đâu?,Đại Học Copenhagen
Nơi Albert Einstein công tác là đâu?,Viện Hàn Lâm Khoa Học Phổ
Ngày nào Abdus Salam sinh?,29 Tháng 1
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Master Of Science
Albert Einstein đã đoạt giải thưởng nào trong lĩnh vực của mình?,Giải Nobel Vật Lý
Năm nào Abdus Salam sinh ra?,1926
Abdus Salam làm việc tại đâu?,/Viện Khoa Học Và Công Nghệ Hạt Nhân Pakistan
Ada Yonath đã nhận giải thưởng nào trong lĩnh vực hóa học?,Giải Wolf Về Hóa Học
Albert Einstein mất ở đất nước nào?,Mỹ
Ai là người mà Abdus Salam đã hợp tác trong các nghiên cứu nổi tiếng?,/Faheem Hussain
Albert Einstein đã từng nhận được giải thưởng nào trong lĩnh vực thiên văn học?,Huy Chương Vàng Của Hội Thiên Văn Học Hoàng Gia
Albert Einstein sinh ở đâu?,Vương Quốc Württemberg
Năm nào Albert Fert đã được trao Giải thưởng?,2003
Adolf Von Baeyer làm việc tại đâu?,Đại Học Ludwig Maximilian München
Abdus Salam làm việc tại đâu?,/Thượng Ban Nghiên Cứu Không Gian Và Khí Quyển
Abdus Salam đã nhận được giải thưởng nào?,/Nishan-E-Imtiaz
Alan MacDiarmid sinh ở đâu?,/Masterton
Ahmed Zewail là giáo sư tại trường đại học nào?,/Đại Học Alexandria
Abdulrazak Gurnah sinh ở đâu?,/Sultanate Of Zanzibar
"Những nguyên tắc pháp lý nào được Albert Camus áp dụng trong tác phẩm ""Mất""?",Pháp
Ai đã được trao giải Nobel Vật Lý?,Giải Nobel Vật Lý
Alan Turing mất ở quốc gia nào?,Anh
Ai đã được trao Giải Nobel Văn Chương?,Giải Nobel Văn Chương
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
Albert Szent-Györgyi đã mất ở đâu?,"/Woods Hole, Massachusetts"
Alan J. Heeger là giáo sư tại trường đại học nào?,Đại Học California Tại Berkeley
Abiy Ahmed đã có liên kết với trường đại học nào?,/Microlink Information Technology College
Aage Bohr qua đời ở quốc gia nào?,Đan Mạch
Alan J. Heeger hiện đang công tác tại trường đại học nào?,Đại Học Pennsylvania
Albert Einstein đã được trao giải thưởng nào?,/Viện Sỹ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Abdus Salam làm việc tại đâu?,/Viện Edward Buochet-Abdus Salam
Albert Abraham Michelson làm việc tại đâu?,/Case Western Reserve University
Trang web nào được liên kết với Alan Turing và trường lớp?,Http://Ktdn.Edu.Vn
Albert Einstein đã từng công tác tại đâu?,Đại Học Leiden
Abdus Salam làm việc tại đâu?,"/Đại Học Chính Phủ College, Lahore"
Aaron Klug sinh ở đất nước nào?,Litva
Ở đâu Akira Yoshino sinh ra?,Suita
Ai đã được trao Giải thưởng /Japan Prize?,/Japan Prize
Aage Bohr đã tham gia vào dự án nào liên quan đến năng lượng hạt nhân?,Dự Án Manhattan
Ai là người tiến hành nghiên cứu về Cơ học lượng tử và lý thuyết trường lượng tử với Abdus Salam?,/John Polkinghorne
Albert Einstein đã từng công tác tại đâu?,Đại Học Zurich
Ai là người đồng tác giả với Abhijit Banerjee trong một số nghiên cứu nổi tiếng?,/Dean Karlan
Năm nào Abdus Salam giành Giải thưởng?,1968
Alan J. Heeger đã đạt được giải thưởng nào?,Giải Balzan
Ai đã làm các nghiên cứu nổi tiếng cùng với Abdus Salam?,/Kamaluddin Ahmed
Tên người phụ nữ đã cùng Abhijit Banerjee và các nghiên cứu sinh khác nổi tiếng thành lập tổ chức J-PAL là gì?,Esther Duflo
Einstein làm việc ở đâu?,/Văn Phòng Sáng Chế Thụy Sĩ
Ai là phối ngẫu của Albert Szent-Györgyi?,/Marcia Houston
Adam Riess đạt giải thưởng nào mà không phải là Giải Nobel?,Giải Shaw
Adolf Von Baeyer làm việc tại đâu?,Đại Học Kỹ Thuật Berlin
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
Adolf Butenandt đã từng được trao giải thưởng nào?,/Kriegsverdienstkreuz
Nơi sinh của Alan Greenspan là ở đâu?,Thành Phố New York
Quốc tịch của nhà hóa học nổi tiếng Ahmed Zewail là gì?,Ai Cập
Ahmed Zewail làm việc tại đâu?,Viện Công Nghệ California
Năm nào Ahmed Zewail nhận giải thưởng?,1993
Năm nào Albert Schweitzer mất?,1965
Danh sách người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Học vị cao nhất mà Akira Yoshino đạt được là gì?,Doctor Of Philosophy
Trường đại học nào mà Albert Abraham Michelson đã từng giảng dạy tại?,Đại Học Humboldt Berlin
Huy chương nào được Ahmed Zewail nhận vào năm 1997?,/Huy Chương Franklin
Ai là quốc gia mà Abram Ioffe mất trong thời kỳ đầu thế kỷ 20?,Xô Viết
Abdus Salam đã nhận được giải thưởng nào từ Pakistan?,/Sitara-E-Pakistan
Abdus Salam sinh ở tỉnh nào?,Punjab
Albert Abraham Michelson làm việc tại đâu?,Đại Học Chicago
Ai là người hướng dẫn luận án tiến sĩ của Albert Einstein?,Alfred Kleiner
Alan MacDiarmid sinh vào ngày nào?,14 Tháng 4
Albert Einstein đã có ảnh hưởng lớn đến lĩnh vực nào trong khoa học?,Vật Lý Hiện Đại
Quốc gia nào là quê hương của Abram Ioffe?,Ukraina
Nơi công tác của Akira Yoshino là đâu?,/Asahi Kasei
Quốc tịch của Adolf Butenandt là gì?,Đức
Abdus Salam làm việc tại đâu?,/Ủy Ban Khoa Học Và Công Nghệ Phát Triển Bền Vững Miền Nam Pakistan
Albert Einstein được trao giải thưởng nào?,/ForMemRS
Ai là người đã làm việc với Abdus Salam trong lĩnh vực các nghiên cứu nổi tiếng?,/Michael Duff
Adolf Butenandt sinh ở đâu?,Bremerhaven
Nơi nào mà Ada Yonath công tác?,/Viện Khoa Học Weizmann
Abram Ioffe là người nổi tiếng ở đế quốc nào?,Đế Quốc Nga
Đất nước nào là quê hương của Aage Bohr?,Đan Mạch
Giải thưởng nào mà Abdus Salam đã từ chối nhận?,/Giải Smith
Ai là người hướng dẫn luận án tiến sĩ của Abram Ioffe?,Không có người hướng dẫn tiến sĩ
Năm nào Albert Schweitzer sinh ra?,1875
Ahmed Zewail đã mất ở quốc gia nào?,Hoa Kỳ
Ai là người được liên kết với Abdus Salam trong lĩnh vực các nghiên cứu sinh nổi tiếng?,/Munir Ahmad Rashid
Albert Schweitzer đã được trao giải thưởng nào?,Giải Nobel Hòa Bình
Alan Turing đã được trao tặng danh hiệu nào?,Huân Chương Đế Quốc Anh
Giải thưởng nào mà Aage Bohr đã nhận?,/Giải Của Viện Franklin
Abiy Ahmed đã đạt được bằng cấp nào trong lĩnh vực giáo dục?,Thạc Sỹ
Albert Einstein đã từng công tác tại đâu?,Đại Học Oxford
Bạn đã học ở trường nào trước khi đến /Đại Học Algiers?,/Đại Học Algiers
Aaron Klug mất ở đâu?,Vương Quốc Liên Hiệp Anh Và Ireland
Adolf Butenandt làm việc tại đâu?,/Đại Học Kỹ Thuật Danzig
Ai là những người đã đoạt giải Nobel Vật Lý?,Danh Sách Người Đoạt Giải Nobel Vật Lý
Adolf Von Baeyer đã giảng dạy tại trường đại học nào?,Đại Học Humboldt Berlin
Albert Einstein làm việc tại đâu?,/Đại Học Bern
Danh sách những người đã đoạt Giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Đâu là nơi sinh của Albert Einstein?,Ulm
Abhijit Banerjee đã đạt được học vị nào?,Cử Nhân
Alan Turing học tại trường đại học nào?,Princeton University
Alan J. Heeger là giáo sư tại trường đại học nào?,Đại Học Nebraska
Trường đại học nào mà Albert Claude từng học và làm việc tại?,/Đại Học Liège
Ai là người hướng dẫn luận án tiến sĩ của Adolf Butenandt?,Không có người hướng dẫn tiến sĩ
Alan MacDiarmid sinh ở đâu?,New Zealand
Ngày nào Alan MacDiarmid mất?,7 Tháng 2
Ai là con cái của Albert Einstein?,/Lieserl Einstein
Ai là người hướng dẫn luận án tiến sĩ của Albert Fert?,Không có người hướng dẫn tiến sĩ
Abdus Salam học tại trường lớp nào trước khi trở thành thành viên của tổ chức nào?,Viện Hàn Lâm Giáo Hoàng Về Khoa Học
Albert Szent-Györgyi làm việc tại trường đại học nào?,/Đại Học Semmelweis
Ai đã nhận được Giải Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Abdus Salam học ở trường nào?,"/Cao Đẳng Saint John, Cambridge"
Ở thành phố nào Albert Szent-Györgyi sinh ra?,Budapest
Adam Riess sinh ở đâu?,Hoa Kỳ
Ở đâu Al Gore sinh ra?,"Washington, D.C"
Ai là người cộng tác với Abdus Salam trong các nghiên cứu?,/Partha Ghose
Quốc gia nào là quê hương của Adolf Butenandt?,Đức
Abhijit Banerjee đã học vị ở đâu?,"/Presidency College, Kolkata"
Ai đã nhận Giải Thưởng Nhật Bản?,/Giải Thưởng Nhật Bản
Alan Turing làm việc tại đâu?,/Trường Mật Mã Chính Phủ Anh
Alan J. Heeger sinh ở tiểu bang nào?,Iowa
Danh sách người đoạt Giải Nobel Hóa Học bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Quốc tịch của Alan Turing là gì?,Anh
Abhijit Banerjee đã nhận học vị từ trường đại học nào?,/Đại Học Jawaharlal Nehru
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,/Robert Wilhelm Bunsen
Alan J. Heeger sinh ở thành phố nào?,/Thành Phố Sioux
Ai là phối ngẫu của Albert Einstein?,/Elsa Einstein
Alan Turing làm việc tại đâu?,Phòng Thí Nghiệm Vật Lý Quốc Gia
Albert Einstein học vị của ông là gì?,Đại Học Zurich
Năm nào Albert Fert sinh ra?,1938
Alan MacDiarmid đã giảng dạy tại trường đại học nào?,Đại Học Wisconsin–Madison
Albert Camus sinh ở nước nào?,Algérie Thuộc Pháp
Ai là người cộng tác với Abdus Salam trong các nghiên cứu nổi tiếng?,/Ghulam Murtaza
Giải thưởng nào mà Abdus Salam đã nhận được?,Giải Nguyên Tử Vì Hòa Bình
Ai là con cái của Albert Einstein?,Hans Albert Einstein
Albert Fert đã từng giảng dạy tại trường đại học nào?,/Đại Học Paris-Sud 11
Alan Greenspan sinh ở thành phố nào?,New York
Ai là những người đã đoạt Giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai là người nghiên cứu nổi tiếng cùng với Adolf Von Baeyer?,/Victor Villiger
Albert Fert công tác ở trường đại học nào?,/Đại Học Paris-Sud 11
Ai đã được trao giải thưởng /Global Energy Prize?,/Global Energy Prize
Đâu là nơi Albert Camus mất?,Villeblevin
Ai là người được Abram Ioffe cho là một trong những nghiên cứu sinh nổi tiếng?,Pyotr Kapitsa
Ai đã nhận Huy Chương Albert Einstein?,Huy Chương Albert Einstein
Alan MacDiarmid làm việc tại đâu?,/Đại Học Texas Tại Dallas
Quốc tịch của Abdus Salam là gì?,Pakistan
Adolf Von Baeyer mất ở đâu?,Starnberg
Ai là phối ngẫu của Albert Szent-Györgyi?,/June Susan Wichterman
Abram Ioffe làm việc tại đâu?,/State Institute Of Roentgenology And Radiology
Adolf Otto Reinhold Windaus sinh ở thành phố nào?,Berlin
Ai đã nhận Giải Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Quốc gia nào Abdus Salam sinh ra?,Pakistan
Trình bày học vị cao nhất mà Abiy Ahmed đã đạt được trong lĩnh vực giáo dục của ông.,Master Of Business Administration
Ai đã giành Giải Khoa Học Thế Giới Albert Einstein?,Giải Khoa Học Thế Giới Albert Einstein
Alan MacDiarmid mất ở tiểu bang nào?,Pennsylvania
Ahmed Zewail đã đoạt giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Hóa Học Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ai đã hướng dẫn luận án tiến sĩ của Albert Abraham Michelson?,Không có người hướng dẫn tiến sĩ
Năm nào Albert Fert đã giành Giải thưởng?,2007
Alan Turing qua đời ở đâu?,/Wilmslow
Alan J. Heeger hiện đang làm việc ở đâu?,Đại Học California Tại Santa Barbara
Ai là người hướng dẫn tiến sĩ cho Abdus Salam?,Không có người hướng dẫn tiến sĩ
Einstein mất ở đâu?,"Princeton, New Jersey"
Ai là người hướng dẫn luận án tiến sĩ của Abdus Salam?,/Nicholas Kemmer
Ai đã được trao /Huy Chương Davy?,/Huy Chương Davy
Ai đã sinh ra Abdus Salam?,/Santokdas
Năm nào Albert Fert đã nhận Giải thưởng?,2006
Quốc tịch của Abhijit Banerjee là gì?,Hoa Kỳ
Ahmed Zewail đã làm việc tại đâu?,Đại Học Pennsylvania
Ai đã nhận Huy Chương H. C. Ørsted?,Huy Chương H. C. Ørsted
Albert Einstein đã nhận được giải thưởng nào vì những đóng góp xuất sắc cho khoa học?,/Barnard Medal For Meritorious Service To Science
Nơi Ada Yonath công tác là đâu?,/Đại Học Jerusalem
Albert Fert làm việc tại công ty nào?,/Thales (Tập Đoàn
Alan Turing đã từng làm gì để trở thành cái gì trong Hiệp Hội Hoàng Gia?,Thành Viên Hiệp Hội Hoàng Gia
Abiy Ahmed sinh ở đâu?,/Tỉnh Kaffa
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,August Kekulé
Ai là người hướng dẫn luận án tiến sĩ của Albert Fert?,/Ian Campbell
Ai là người đã nhận Giải Humboldt?,Giải Humboldt
Quốc gia nào Adolf Von Baeyer sinh ra?,Đức
Năm Adolf Otto Reinhold Windaus sinh là năm nào?,1876
Ai là người phối ngẫu của Albert Camus?,/Francine Faure
Ai đã được trao Giải Goethe?,Giải Goethe
Năm nào Ahmed Zewail nhận Giải thưởng?,1997
Alan Turing sinh ở đâu?,/Maida Vale
Ai là người đồng nghiệp nghiên cứu của Abdus Salam?,/Ghulam Dastagir Alam
Năm Ahmed Zewail giành giải thưởng là năm nào?,1998
Quốc tịch của Albert Abraham Michelson là gì?,Hoa Kỳ
Abdus Salam đã đến từ đâu để làm việc tại trường đại học nổi tiếng?,Oxford
Danh sách những người đã đoạt giải Nobel Hóa Học được ghi trong tài liệu nào?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Adolf Von Baeyer làm việc tại đâu?,Đại Học Humboldt Berlin
Ai là người phát hiện ra tia X?,Wilhelm Röntgen
Albert Einstein đã từng nhận được giải thưởng nào?,Huy Chương Copley
Alan Turing sinh ở thành phố nào?,Luân Đôn
Năm nào Abdus Salam nhận được Giải thưởng?,1978
Ai là người hướng dẫn luận án tiến sĩ của Abdus Salam?,/Paul Matthews
Ahmed Zewail đã nhận được giải thưởng nào?,Huy Chương Priestley
Năm nào Albert Schweitzer đã nhận giải thưởng?,1928
Adolf Butenandt mất ở thành phố nào?,München
Albert Einstein là thành viên của tổ chức nào?,/Hiệp Hội Vật Lý Đức
Nơi công tác của Abram Ioffe là đâu?,/Viện Ioffe
Albert Fert đã nhận giải thưởng nào trong lĩnh vực Vật lý?,Giải Wolf Vật Lý
Ai là người cộng tác với Abram Ioffe trong lĩnh vực nghiên cứu?,/Pyotr Lukirsky
Vị khoa học Albert Fert sinh ra ở đâu?,Pháp
Ai là người được biết đến với các nghiên cứu về Adolf Von Baeyer?,Hermann Emil Fischer
Abiy Ahmed đã tốt nghiệp từ trường đại học nào?,/Đại Học Ashland
Ai là người đã ảnh hưởng đến Albert Einstein?,Hermann Minkowski
Abdus Salam làm việc tại đâu?,/Ủy Ban Năng Lượng Nguyên Tử Pakistan
Quốc tịch của Aaron Klug là gì?,Anh
"Ai là người đã đoạt giải thưởng danh giá mang tên ""Giải Nobel""?",Giải Nobel
Người nào đã được trao Huy Chương Copley?,Huy Chương Copley
Ai đã giành Giải Phổ Học Edgar Bright Wilson?,Giải Phổ Học Edgar Bright Wilson
Ai đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Albert Camus sinh ở đâu?,Algérie
Abdus Salam sinh ở đâu?,/Quận Sahiwal
Ai là người đã được trao Giải Nobel Kinh Tế?,Giải Nobel Kinh Tế
Ai đã được trao giải thưởng Charles Stark Draper Prize?,/Charles Stark Draper Prize
Abram Ioffe đã đạt được giải thưởng nào từ Liên Xô?,Huân Chương Lenin
Albert Einstein từng công tác tại đâu?,Đại Học Berlin Humboldt
Abdus Salam làm việc tại đâu?,/Đại Học Hoàng Gia London
Ai là phối ngẫu của Albert Einstein?,Mileva Marić
Ai đã đoạt Huy Chương Vàng Lomonosov?,/Huy Chương Vàng Lomonosov
Abiy Ahmed học tại trường đại học nào?,Đại Học Greenwich
Ngày sinh của Albert Fert là ngày nào?,7 Tháng 3
Năm nào Abdus Salam đã giành Giải thưởng Nobel?,1979
Ngày nào Albert Schweitzer sinh?,14 Tháng 1
Albert Szent-Györgyi sinh ở đất nước nào?,Hungary
Adolf Von Baeyer làm việc tại đâu?,Đại Học Strasbourg
Trường đào tạo nơi Aage Bohr đã giảng dạy là gì?,Đại Học Copenhagen
Ai là nhà hóa học trong Triple Adolf Von Baeyer - Các nghiên cứu sinh nổi tiếng - /John Ulric Nef?,/John Ulric Nef (Nhà Hóa Học
Albert Abraham Michelson sinh ở đâu?,Vương Quốc Phổ
Nơi công tác của Albert Einstein là ở đâu?,"/Viện Nghiên Cứu Cao Cấp Princeton, New Jersey"
Abhijit Banerjee đã đạt được học vị nào?,Thạc Sĩ
Alan Turing sinh ở đâu?,Anh
Adam Riess làm việc tại đâu?,Đại Học Johns Hopkins
Alan MacDiarmid làm việc tại đâu?,Đại Học St Andrews
Ai là chủ tịch của Chính Phủ Quân Sự Lâm Thời Ethiopia Xã Hội Chủ Nghĩa?,Chính Phủ Quân Sự Lâm Thời Ethiopia Xã Hội Chủ Nghĩa
Albert Schweitzer qua đời tại quốc gia nào?,Cộng Hòa Gabon
Ai là người phối ngẫu của Al Gore?,/Tipper Gore
Thành phố nào là nơi sinh của nhà vật lý nổi tiếng Albert Fert?,Carcassonne
Alan MacDiarmid làm việc ở đâu?,Đại Học Pennsylvania
Abdus Salam làm việc tại đâu?,/Trung Tâm Vật Lý Lý Thuyết Quốc Tế
Năm Albert Claude mất là năm nào?,1983
Trường đại học nào mà Albert Einstein từng học vị?,ETH Zurich
Quốc gia nào là nơi sinh của Adolf Otto Reinhold Windaus?,Đức
Ai là người được liên kết với Abdus Salam trong lĩnh vực nghiên cứu?,/Pervez Hoodbhoy
Ahmed Zewail mất ở đâu?,"Pasadena, California"
Akira Yoshino học vị gì ở đâu?,Đại Học Kyoto
Ai đã nhận Huy Chương Matteucci?,Huy Chương Matteucci
Quốc tịch của Alan Greenspan là gì?,Hoa Kỳ
Ai là người được đề cử trong Triple: Abdus Salam - Các nghiên cứu sinh nổi tiếng - Walter Gilbert?,Walter Gilbert
Năm nào Ahmed Zewail đã giành Giải thưởng?,1996
Ai là người được đề cử trong Triple: Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Masud Ahmad?,/Masud Ahmad
Năm nào Ahmed Zewail nhận giải thưởng?,2011
Bạn có thể cho biết nơi sinh của Abram Ioffe là ở đâu không?,Romny
Nơi Adolf Otto Reinhold Windaus mất là ở đâu?,Göttingen
Abram Ioffe đã đoạt giải thưởng nào?,Giải Thưởng Lenin
"Abdus Salam đã đoạt giải thưởng nào mà có tên gọi ""Huy Chương Tate""?",Huy Chương Tate
Abiy Ahmed học tốt ở trình độ nào?,Cử Nhân
Alan Turing làm việc tại đâu?,Đại Học Manchester
Abiy Ahmed đã đạt được học vị nào trong lĩnh vực giáo dục?,Doctor Of Philosophy
Trường đại học nào Alan MacDiarmid từng giảng dạy tại?,/Đại Học Victoria Wellington
Quốc tịch của Adam Riess là gì?,Hoa Kỳ
Quốc gia nào là quê hương của nhà hóa học nổi tiếng Ahmed Zewail?,Ai Cập
Ai là người hướng dẫn tiến sĩ của Alan J. Heeger?,Không có người hướng dẫn tiến sĩ
Năm nào Albert Schweitzer giành giải thưởng?,1952
Ai là người cộng tác nghiên cứu với Abdus Salam?,/John Moffat
Albert Abraham Michelson nhận giải thưởng nào được trao bởi Huy Chương Matteucci?,Huy Chương Matteucci
Ai là Benjamin Jones?,/Benjamin Jones (Economist
Thành phố nào Aaron Ciechanover sinh ra?,Haifa
Ai là người đã nhận được /Giải Adams?,/Giải Adams
Quốc tịch của Aaron Ciechanover là gì?,Israel
Albert Abraham Michelson đã từng giảng dạy tại đâu?,Học Viện Hải Quân Hoa Kỳ
Ahmed Zewail sinh ở thành phố nào?,/Damanhour
Trường đại học nào mà Abhijit Banerjee đã nhận học vị từ?,Đại Học Harvard
Quốc tịch của Albert Claude là gì?,Bỉ
Ai là người hướng dẫn luận án tiến sĩ của Abhijit Banerjee?,Eric Maskin
Ai là người nghiên cứu sinh nổi tiếng liên quan đến Abdus Salam?,/Abdul Hameed Nayyar
